Tema Queja;Año;Área;Número de quejas
Radiaciones electromagnéticas;2016;Suba;3
Radiaciones electromagnéticas;2016;Barrios Unidos;2
Radiaciones electromagnéticas;2016;Teusaquillo;5
Radiaciones electromagnéticas;2016;Los Mártires;2
Radiaciones electromagnéticas;2016;Antonio Nariño;0
Radiaciones electromagnéticas;2016;Puente Aranda;0
Radiaciones electromagnéticas;2016;La Candelaria;3
Radiaciones electromagnéticas;2016;Rafael Uribe Uribe;0
Radiaciones electromagnéticas;2016;Ciudad Bolívar;0
Radiaciones electromagnéticas;2016;Distrito;41
Contaminación por aire;2017;Usaquén;4
Contaminación por aire;2017;Chapinero;4
Contaminación por aire;2017;Santa Fe;0
Contaminación por aire;2017;San Cristóbal;0
Contaminación por aire;2017;Usme;3
Contaminación por aire;2017;Tunjuelito;0
Contaminación por aire;2017;Bosa;9
Contaminación por aire;2017;Kennedy;4
Contaminación por aire;2017;Fontibón;3
Contaminación por aire;2017;Engativá;8
Contaminación por aire;2017;Suba;7
Contaminación por aire;2017;Barrios Unidos;5
Contaminación por aire;2017;Teusaquillo;2
Contaminación por aire;2017;Los Mártires;0
Contaminación por aire;2017;Antonio Nariño;2
Contaminación por aire;2017;Puente Aranda;1
Contaminación por aire;2017;La Candelaria;0
Contaminación por aire;2017;Rafael Uribe Uribe;1
Contaminación por aire;2017;Ciudad Bolívar;4
Contaminación por aire;2017;Distrito;57
Humo de tabaco;2017;Usaquén;1
Humo de tabaco;2017;Chapinero;2
Humo de tabaco;2017;Santa Fe;2
Humo de tabaco;2017;San Cristóbal;1
Humo de tabaco;2017;Usme;0
Humo de tabaco;2017;Tunjuelito;1
Humo de tabaco;2017;Bosa;0
Humo de tabaco;2017;Kennedy;0
Humo de tabaco;2017;Fontibón;1
Humo de tabaco;2017;Engativá;2
Humo de tabaco;2017;Suba;2
Humo de tabaco;2017;Barrios Unidos;0
Humo de tabaco;2017;Teusaquillo;0
Humo de tabaco;2017;Los Mártires;0
Humo de tabaco;2017;Antonio Nariño;3
Humo de tabaco;2017;Puente Aranda;1
Humo de tabaco;2017;La Candelaria;2
Humo de tabaco;2017;Rafael Uribe Uribe;0
Humo de tabaco;2017;Ciudad Bolívar;0
Humo de tabaco;2017;Distrito;18
Olores ofensivos;2017;Usaquén;11
Olores ofensivos;2017;Chapinero;5
Olores ofensivos;2017;Santa Fe;3
Olores ofensivos;2017;San Cristóbal;4
Olores ofensivos;2017;Usme;5
Olores ofensivos;2017;Tunjuelito;6
Olores ofensivos;2017;Bosa;13
Olores ofensivos;2017;Kennedy;7
Olores ofensivos;2017;Fontibón;6
Olores ofensivos;2017;Engativá;13
Olores ofensivos;2017;Suba;20
Olores ofensivos;2017;Barrios Unidos;8
Olores ofensivos;2017;Teusaquillo;1
