Año encuesta;Localidad;Sexo;Aseguramiento;Estrato;Casos de sibilancia último año;Casos de tos último año diferente gripa;Casos de mocos o nariz tapada último año;Casos de ausentismo escolar;Casos de asistencia al colegio;Registros
2020;Barrios Unidos;Mujer;Contributivo (EPS);2;1;0;1;0;0;3
2020;Barrios Unidos;Mujer;Contributivo (EPS);3;3;3;6;1;18;40
2020;Barrios Unidos;Mujer;Contributivo (EPS);4;0;0;1;0;2;4
2020;Barrios Unidos;Mujer;Ninguno;3;0;0;0;0;2;2
2020;Barrios Unidos;Mujer;Subsidiado (EPSS);2;0;0;1;0;1;1
2020;Barrios Unidos;Mujer;Subsidiado (EPSS);3;0;0;0;0;3;6
2020;Bosa;Hombre;Contributivo (EPS);1;0;0;0;0;0;1
2020;Bosa;Hombre;Contributivo (EPS);2;2;0;21;0;21;107
2020;Bosa;Hombre;Ninguno;2;0;0;1;0;2;5
2020;Bosa;Hombre;Régimen excepcional;2;0;0;2;0;4;5
2020;Bosa;Hombre;Subsidiado (EPSS);2;0;0;7;0;6;30
2020;Bosa;Mujer;Contributivo (EPS);2;4;1;15;1;21;110
2020;Bosa;Mujer;Contributivo (EPS);3;0;0;1;0;0;4
2020;Bosa;Mujer;Ninguno;2;0;0;2;0;3;8
2020;Bosa;Mujer;Régimen excepcional;2;0;0;0;0;1;2
2020;Bosa;Mujer;Subsidiado (EPSS);2;1;0;7;0;10;32
2020;Candelaria;Hombre;Contributivo (EPS);2;0;1;0;0;7;14
2020;Candelaria;Hombre;Contributivo (EPS);3;0;0;1;1;2;3
2020;Candelaria;Hombre;Ninguno;3;0;0;0;0;1;1
2020;Candelaria;Hombre;Subsidiado (EPSS);2;1;0;1;0;4;7
2020;Candelaria;Mujer;Contributivo (EPS);2;1;1;1;0;5;12
2020;Candelaria;Mujer;Contributivo (EPS);3;0;0;0;0;1;3
2020;Candelaria;Mujer;Subsidiado (EPSS);2;0;0;0;0;7;9
2020;Candelaria;Mujer;Subsidiado (EPSS);3;0;0;0;0;1;1
2020;Chapinero;Hombre;Contributivo (EPS);1;0;1;1;0;1;7
2020;Chapinero;Hombre;Contributivo (EPS);2;0;0;1;0;3;11
2020;Chapinero;Hombre;Contributivo (EPS);3;0;0;0;0;4;13
2020;Chapinero;Hombre;Contributivo (EPS);4;0;1;0;0;5;13
2020;Chapinero;Hombre;Régimen excepcional;3;0;0;0;0;0;1
2020;Chapinero;Hombre;Subsidiado (EPSS);1;0;1;1;1;2;4
2020;Chapinero;Hombre;Subsidiado (EPSS);2;0;0;0;0;1;1
2020;Chapinero;Hombre;Subsidiado (EPSS);4;0;0;0;0;0;1
2020;Chapinero;Mujer;Contributivo (EPS);1;0;0;0;0;0;2
2020;Chapinero;Mujer;Contributivo (EPS);2;1;1;2;1;10;19
2020;Chapinero;Mujer;Contributivo (EPS);3;0;0;1;0;0;5
2020;Chapinero;Mujer;Contributivo (EPS);4;0;0;0;0;1;8
2020;Chapinero;Mujer;Subsidiado (EPSS);1;0;0;0;0;1;1
2020;Chapinero;Mujer;Subsidiado (EPSS);2;0;0;0;0;0;1
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);1;4;3;11;0;31;69
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);2;3;1;4;0;7;33
2020;Ciudad Bolívar;Hombre;Contributivo (EPS);3;0;0;0;0;0;1
2020;Ciudad Bolívar;Hombre;Ninguno;1;0;0;3;0;1;5
2020;Ciudad Bolívar;Hombre;Ninguno;2;0;0;0;0;2;3
2020;Ciudad Bolívar;Hombre;Régimen excepcional;1;0;0;0;0;1;1
2020;Ciudad Bolívar;Hombre;Régimen excepcional;2;0;1;0;0;1;3
2020;Ciudad Bolívar;Hombre;Subsidiado (EPSS);1;1;2;7;0;13;49
2020;Ciudad Bolívar;Hombre;Subsidiado (EPSS);2;0;1;1;0;4;15
2020;Ciudad Bolívar;Mujer;Contributivo (EPS);1;3;4;10;0;15;41
2020;Ciudad Bolívar;Mujer;Contributivo (EPS);2;1;1;5;0;11;41
2020;Ciudad Bolívar;Mujer;Ninguno;1;0;0;0;0;1;3
2020;Ciudad Bolívar;Mujer;Ninguno;2;0;0;1;0;1;1
2020;Ciudad Bolívar;Mujer;Régimen excepcional;1;0;0;3;0;2;4
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);1;3;4;6;3;16;34
2020;Ciudad Bolívar;Mujer;Subsidiado (EPSS);2;0;2;2;0;6;17
2020;Engativá;Hombre;Contributivo (EPS);1;0;0;0;0;0;1
2020;Engativá;Hombre;Contributivo (EPS);2;2;3;8;0;10;41
2020;Engativá;Hombre;Contributivo (EPS);3;6;3;16;3;39;118
2020;Engativá;Hombre;Contributivo (EPS);4;0;1;2;0;0;4
2020;Engativá;Hombre;Ninguno;2;0;0;0;0;1;1
2020;Engativá;Hombre;Ninguno;3;0;0;0;0;0;2
2020;Engativá;Hombre;Régimen excepcional;3;0;0;0;0;3;5
2020;Engativá;Hombre;Subsidiado (EPSS);2;0;0;1;0;4;9
2020;Engativá;Hombre;Subsidiado (EPSS);3;0;0;1;0;4;8
2020;Engativá;Mujer;Contributivo (EPS);2;3;4;3;1;6;30
2020;Engativá;Mujer;Contributivo (EPS);3;7;2;9;1;42;94
2020;Engativá;Mujer;Contributivo (EPS);4;0;0;0;0;0;1
2020;Engativá;Mujer;Ninguno;3;0;1;0;0;1;2
2020;Engativá;Mujer;Régimen excepcional;2;0;0;0;0;1;1
2020;Engativá;Mujer;Régimen excepcional;3;0;0;0;0;3;5
2020;Engativá;Mujer;Subsidiado (EPSS);2;0;0;1;0;1;6
2020;Engativá;Mujer;Subsidiado (EPSS);3;1;0;3;1;3;12
2020;Fontibón;Hombre;Contributivo (EPS);2;0;0;2;0;7;19
2020;Fontibón;Hombre;Contributivo (EPS);3;1;0;6;0;15;45
2020;Fontibón;Hombre;Contributivo (EPS);4;1;0;3;0;1;12
2020;Fontibón;Hombre;Ninguno;3;1;0;2;0;1;4
2020;Fontibón;Hombre;Ninguno;4;0;0;0;0;0;1
2020;Fontibón;Hombre;Régimen excepcional;2;0;0;0;0;0;1
2020;Fontibón;Hombre;Régimen excepcional;3;0;0;0;0;2;2
2020;Fontibón;Hombre;Régimen excepcional;4;0;0;0;0;0;2
2020;Fontibón;Hombre;Subsidiado (EPSS);2;0;0;0;0;2;6
2020;Fontibón;Hombre;Subsidiado (EPSS);3;1;0;0;0;2;5
2020;Fontibón;Hombre;Subsidiado (EPSS);4;0;0;0;0;1;1
2020;Fontibón;Mujer;Contributivo (EPS);2;1;0;0;0;4;11
